,area,year,pop_estimate
635,Georgia,2003,8622793
636,Hawaii,2003,1251154
637,Idaho,2003,1363380
638,Illinois,2003,12556006
639,Indiana,2003,6196638
640,Iowa,2003,2941999
641,Kansas,2003,2723004
642,Kentucky,2003,4117170
643,Louisiana,2003,4521042
644,Maine,2003,1306513
645,Maryland,2003,5496269
646,Massachusetts,2003,6422565
647,Michigan,2003,10041152
648,Minnesota,2003,5053572
649,Mississippi,2003,2868312
650,Missouri,2003,5709403
651,Montana,2003,919630
652,Nebraska,2003,1738643
653,Nevada,2003,2248850
654,New Hampshire,2003,1279840
655,New Jersey,2003,8601402
656,New Mexico,2003,1877574
657,New York,2003,19175939
658,North Carolina,2003,8422501
659,North Dakota,2003,638817
660,Ohio,2003,11434788
661,Oklahoma,2003,3504892
662,Oregon,2003,3547376
663,Pennsylvania,2003,12374658
664,Rhode Island,2003,1071342
665,South Carolina,2003,4150297
666,South Dakota,2003,763729
667,Tennessee,2003,5847812
668,Texas,2003,22030931
669,Utah,2003,2360137
670,Vermont,2003,617858
671,Virginia,2003,7366977
672,Washington,2003,6104115
673,West Virginia,2003,1812295
674,Wisconsin,2003,5479203
675,Wyoming,2003,503453
676,United States,2004,292805298
677,Alabama,2004,4530729
678,Alaska,2004,659286
679,Arizona,2004,5652404
680,Arkansas,2004,2749686
681,California,2004,35574576
682,Colorado,2004,4575013
683,Connecticut,2004,3496094
684,Delaware,2004,830803
685,District of Columbia,2004,567754
686,Florida,2004,17415318
687,Georgia,2004,8769252
688,Hawaii,2004,1273569
689,Idaho,2004,1391802
690,Illinois,2004,12589773
691,Indiana,2004,6233007
692,Iowa,2004,2953635
693,Kansas,2004,2734373
694,Kentucky,2004,4146101
695,Louisiana,2004,4552238
696,Maine,2004,1313688
697,Maryland,2004,5546935
698,Massachusetts,2004,6412281
699,Michigan,2004,10055315
700,Minnesota,2004,5087713
701,Mississippi,2004,2889010
702,Missouri,2004,5747741
703,Montana,2004,930009
704,Nebraska,2004,1749370
705,Nevada,2004,2346222
706,New Hampshire,2004,1290121
707,New Jersey,2004,8634561
708,New Mexico,2004,1903808
709,New York,2004,19171567
710,North Carolina,2004,8553152
711,North Dakota,2004,644705
712,Ohio,2004,11452251
713,Oklahoma,2004,3525233
714,Oregon,2004,3569463
715,Pennsylvania,2004,12410722
716,Rhode Island,2004,1074579
717,South Carolina,2004,4210921
718,South Dakota,2004,770396
719,Tennessee,2004,5910809
720,Texas,2004,22394023
721,Utah,2004,2401580
722,Vermont,2004,619920
723,Virginia,2004,7475575
724,Washington,2004,6178645
725,West Virginia,2004,1816438
726,Wisconsin,2004,5514026
727,Wyoming,2004,509106
728,United States,2005,295516599
729,Alabama,2005,4569805
730,Alaska,2005,666946
731,Arizona,2005,5839077
732,Arkansas,2005,2781097
733,California,2005,35827943
734,Colorado,2005,4631888
