state,year,total_incidents,anti_american_indian_or_alaska_native,anti_arab,anti_asian,anti_atheism_agnosticism,anti_bisexual,anti_black_or_african_american,anti_buddhist,anti_catholic,anti_eastern_orthodox_russian_greek_other,anti_female,anti_gay_male,anti_gender_non_conforming,anti_heterosexual,anti_hindu,anti_hispanic_or_latino,anti_islamic_muslim,anti_jehovahs_witness,anti_jewish,anti_lesbian_female,anti_male,anti_mental_disability,anti_mormon,anti_multiple_races_group,anti_multiple_religions_group,anti_native_hawaiian_or_other_pacific_islander,anti_other_christian,anti_other_race_ethnicity_ancestry,anti_other_religion,anti_physical_disability,anti_protestant,anti_sikh,anti_transgender,anti_white,unknown_motivation,anti_lgbtq_grouped
District of Columbia,1993,10,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,4
Florida,1993,239,1,0,2,0,1,102,0,0,0,0,19,0,0,0,11,1,0,27,1,0,0,0,4,0,0,0,13,1,0,2,0,0,53,0,22
Georgia,1993,75,0,0,0,0,0,33,0,0,0,0,19,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,18,0,22
Idaho,1993,70,3,0,3,0,0,18,0,0,0,0,5,0,0,0,13,2,0,1,0,0,0,0,3,1,0,0,0,2,0,0,0,0,18,0,6
Illinois,1993,745,3,16,14,2,0,289,0,5,0,0,50,0,3,0,31,1,0,39,8,0,0,0,20,1,0,0,22,6,0,7,0,0,218,0,68
Indiana,1993,82,0,0,4,0,0,29,0,0,0,0,4,0,13,0,0,0,0,5,2,0,0,0,10,0,0,0,3,0,0,0,0,0,7,0,11
Iowa,1993,39,0,0,2,0,0,23,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,4
Kentucky,1993,13,0,0,0,0,0,5,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2
Louisiana,1993,23,0,0,1,0,0,5,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,6
Maine,1993,32,1,0,4,0,0,5,0,0,0,0,10,0,0,0,1,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,10
Maryland,1993,405,1,1,20,0,0,190,0,3,0,0,10,0,0,0,5,1,0,49,2,0,0,0,27,0,0,0,6,4,0,9,0,0,75,0,15
Massachusetts,1993,343,0,7,29,0,0,100,0,2,0,0,23,0,0,0,43,0,0,41,6,0,0,0,0,0,0,0,3,1,0,1,0,0,87,0,29
Michigan,1993,248,0,6,5,1,1,121,0,3,0,0,7,0,9,0,9,0,0,14,7,0,0,0,4,0,0,0,11,2,0,0,0,0,46,0,18
Missouri,1993,167,2,1,3,0,0,84,0,0,0,0,10,0,0,0,1,0,0,6,1,0,0,0,4,0,0,0,6,1,0,0,0,0,48,0,11
Montana,1993,21,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0
Nevada,1993,12,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0
New Jersey,1993,1100,1,8,39,0,0,435,0,7,0,0,25,0,0,0,48,5,0,302,5,0,0,0,16,1,0,0,49,7,0,0,0,0,151,0,31
New Mexico,1993,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York,1993,934,0,0,0,0,0,262,0,0,0,0,73,0,0,0,45,0,0,337,9,0,0,0,0,0,0,0,53,22,0,0,0,0,131,0,84
North Carolina,1993,10,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,1
North Dakota,1993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ohio,1993,260,0,1,10,0,0,95,0,0,0,0,11,0,0,0,4,0,0,19,3,0,0,0,1,1,0,0,2,2,0,0,0,0,107,0,18
Oklahoma,1993,61,0,2,2,0,0,27,0,1,0,0,2,0,0,0,4,0,0,6,0,0,0,0,2,0,0,0,1,0,0,1,0,0,12,0,3
Oregon,1993,237,3,1,10,0,0,72,0,1,0,0,43,0,0,0,26,0,0,14,13,0,0,0,10,1,0,0,5,2,0,0,0,0,30,0,62
Pennsylvania,1993,391,1,0,8,0,0,166,0,1,0,0,8,0,0,0,67,1,0,42,5,0,0,0,14,0,0,0,5,3,0,2,0,0,68,0,13
Rhode Island,1993,62,0,0,3,0,0,25,0,0,0,0,5,0,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,6
South Carolina,1993,27,0,0,0,0,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,10,0,2
South Dakota,1993,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tennessee,1993,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Texas,1993,418,1,4,9,0,0,185,0,1,0,0,36,0,1,0,39,0,0,28,5,0,0,0,3,0,0,0,5,3,0,2,0,0,90,0,47
Utah,1993,45,1,0,1,0,0,10,0,0,0,0,4,0,0,0,3,0,0,1,0,0,0,0,2,1,0,0,5,0,0,0,0,0,14,0,7
Vermont,1993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Virginia,1993,100,0,0,3,0,0,49,0,0,0,0,4,0,0,0,0,0,0,11,2,0,0,0,2,0,0,0,1,0,0,0,0,0,22,0,12
Washington,1993,457,4,3,30,0,0,182,0,3,0,0,65,0,1,0,15,0,0,37,22,0,0,0,10,1,0,0,9,1,0,1,0,0,54,0,107
Wisconsin,1993,19,0,0,3,0,0,3,0,0,0,0,3,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,4
Wyoming,1993,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,2,0,0
Alaska,1994,9,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
Arizona,1994,205,1,5,6,0,0,72,0,3,0,0,23,0,0,0,23,0,0,28,3,0,0,0,4,0,0,0,2,8,0,1,0,0,23,0,30
Arkansas,1994,10,0,0,2,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1
California,1994,354,0,0,33,0,0,74,0,0,0,0,84,0,0,0,19,2,0,30,10,0,0,0,12,1,0,0,16,6,0,3,0,0,63,0,95
Colorado,1994,174,1,4,6,0,1,51,0,3,0,0,14,0,1,0,22,1,0,21,2,0,0,0,5,0,0,0,7,0,0,1,0,0,28,0,23
Connecticut,1994,68,0,0,2,0,0,26,0,3,0,0,7,0,0,0,6,0,0,11,1,0,0,0,0,0,0,0,3,0,0,1,0,0,7,0,9
Delaware,1994,42,0,0,0,0,0,16,0,0,0,0,5,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,9,0,12
District of Columbia,1994,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Florida,1994,214,0,0,2,0,1,70,0,0,0,0,16,0,0,0,0,0,0,22,4,0,0,0,11,0,0,0,22,3,0,0,0,0,63,0,21
Georgia,1994,51,0,0,2,0,0,17,0,0,0,0,14,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,22
Idaho,1994,80,1,1,1,1,0,12,0,2,0,0,6,0,0,0,19,1,0,1,0,0,0,0,5,0,0,0,1,4,0,0,0,0,22,0,9
Illinois,1994,239,0,8,5,0,0,64,0,0,0,0,26,0,0,0,14,1,0,55,6,0,0,0,2,0,0,0,9,0,0,0,0,0,49,0,32
Indiana,1994,32,0,0,0,0,0,15,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,1,0,0,3,0,6
Iowa,1994,61,0,0,3,0,0,34,0,0,0,0,3,0,0,0,7,0,0,3,1,0,0,0,1,0,0,0,2,1,0,0,0,0,6,0,4
Kentucky,1994,4,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Louisiana,1994,9,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
Maine,1994,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Maryland,1994,331,2,4,9,0,0,165,0,1,0,0,4,0,0,0,8,1,0,39,4,0,0,0,21,3,0,0,6,0,0,6,0,0,57,0,9
Michigan,1994,252,0,6,8,1,0,110,0,0,0,0,3,0,3,0,6,0,0,20,1,0,0,0,3,3,0,0,13,1,0,2,0,0,69,0,7
Mississippi,1994,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Missouri,1994,140,0,1,5,0,0,82,0,0,0,0,7,0,0,0,3,0,0,2,2,0,0,0,3,0,0,0,1,0,0,0,0,0,34,0,9
Nevada,1994,16,0,0,0,1,0,3,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,7
New Hampshire,1994,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Jersey,1994,895,0,8,31,0,0,362,0,4,0,0,29,0,6,0,47,6,0,224,8,0,0,0,11,0,0,0,58,13,0,5,0,0,81,0,39
New Mexico,1994,12,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
New York,1994,911,0,0,0,0,0,245,0,0,0,0,89,0,0,0,48,0,0,317,17,0,0,0,0,0,0,0,68,17,0,0,0,0,110,0,106
North Carolina,1994,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0
North Dakota,1994,5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ohio,1994,357,4,4,9,0,0,171,0,0,0,0,17,0,0,0,7,3,0,20,7,0,0,0,3,0,0,0,3,0,0,0,0,0,106,0,27
